Disease,Specialized Doctor
Fungal infection,Dermatologist
Allergy,Allergist/Immunologist
GERD,Gastroenterologist
Chronic cholestasis,Hepatologist
Drug Reaction,Allergist/Dermatologist
Peptic ulcer disease,Gastroenterologist
AIDS,Infectious Disease Specialist
Diabetes,Endocrinologist
Gastroenteritis,Gastroenterologist
Bronchial Asthma,Pulmonologist
Hypertension,Cardiologist
Migraine,Neurologist
Cervical spondylosis,Orthopedic Surgeon/Neurologist
Paralysis (brain hemorrhage),Neurologist
Jaundice,Hepatologist
Malaria,Infectious Disease Specialist
Chicken pox,Dermatologist
Dengue,Infectious Disease Specialist
Typhoid,General Physician/Infectious Disease Specialist
Hepatitis A,Hepatologist
Hepatitis B,Hepatologist
Hepatitis C,Hepatologist
Hepatitis D,Hepatologist
Hepatitis E,Hepatologist
Alcoholic hepatitis,Hepatologist
Tuberculosis,Pulmonologist/Infectious Disease Specialist
Common Cold,General Physician
Pneumonia,Pulmonologist
Dimorphic hemorrhoids(piles),Proctologist/General Surgeon
Heart attack,Cardiologist
Varicose veins,Vascular Surgeon
Hypothyroidism,Endocrinologist
Hyperthyroidism,Endocrinologist
Hypoglycemia,Endocrinologist
Osteoarthritis,Orthopedic Surgeon
Arthritis,Rheumatologist
(vertigo) Paroxysmal Positional Vertigo,Neurologist/ENT Specialist
Acne,Dermatologist
Urinary tract infection,Urologist
Psoriasis,Dermatologist
Impetigo,Dermatologist
